"order_id","order_date","order_time","total_price","details"
1,"2015-01-01","11:38:36","13.25","The Hawaiian Pizza"
2,"2015-01-01","11:57:40","92","The Classic Deluxe Pizza, The Five Cheese Pizza, The Italian Supreme Pizza, The Mexicana Pizza, The Thai Chicken Pizza"
3,"2015-01-01","12:12:28","37.25","The Italian Supreme Pizza, The Prosciutto and Arugula Pizza"
4,"2015-01-01","12:16:31","16.5","The Italian Supreme Pizza"
5,"2015-01-01","12:21:30","16.5","The Italian Supreme Pizza"
6,"2015-01-01","12:29:36","24.75","The Barbecue Chicken Pizza, The Greek Pizza"
7,"2015-01-01","12:50:37","12.5","The Spinach Supreme Pizza"
8,"2015-01-01","12:51:37","12.5","The Spinach Supreme Pizza"
9,"2015-01-01","12:52:01","143.25","The Classic Deluxe Pizza, The Green Garden Pizza, The Italian Capocollo Pizza, The Italian Supreme Pizza, The Italian Supreme Pizza, The Mexicana Pizza, The Spicy Italian Pizza, The Spinach Pesto Pizza, The Vegetables + Vegetables Pizza"
10,"2015-01-01","13:00:15","41","The Mexicana Pizza, The Southwest Chicken Pizza"
11,"2015-01-01","13:02:59","73.5","The Barbecue Chicken Pizza, The California Chicken Pizza, The California Chicken Pizza, The Pepperoni Pizza"
12,"2015-01-01","13:04:41","70.75","The California Chicken Pizza, The California Chicken Pizza, The Chicken Pesto Pizza, The Italian Supreme Pizza"
13,"2015-01-01","13:11:55","20.25","The Mexicana Pizza"
14,"2015-01-01","13:14:19","12","The Greek Pizza"
15,"2015-01-01","13:33:00","63.25","The Big Meat Pizza, The Five Cheese Pizza, The Soppressata Pizza, The Greek Pizza"
16,"2015-01-01","13:34:07","50.7","The Four Cheese Pizza, The Napolitana Pizza, The Thai Chicken Pizza"
17,"2015-01-01","13:53:00","184.5","The Barbecue Chicken Pizza, The Calabrese Pizza, The Five Cheese Pizza, The Four Cheese Pizza, The Italian Supreme Pizza, The Italian Vegetables Pizza, The Mediterranean Pizza, The Mexicana Pizza, The Pepper Salami Pizza, The Spinach and Feta Pizza"
18,"2015-01-01","13:57:08","20.5","The Napolitana Pizza"
19,"2015-01-01","13:59:09","40.75","The Italian Capocollo Pizza, The Sicilian Pizza"
20,"2015-01-01","14:03:08","30.5","The Big Meat Pizza, The Five Cheese Pizza"
21,"2015-01-01","14:14:29","20.5","The Italian Capocollo Pizza"
22,"2015-01-01","14:16:26","55.25","The Five Cheese Pizza, The Italian Capocollo Pizza, The Southwest Chicken Pizza"
23,"2015-01-01","14:19:03","12.75","The Southwest Chicken Pizza"
24,"2015-01-01","14:23:01","57.75","The Barbecue Chicken Pizza, The Italian Capocollo Pizza, The Pepperoni Pizza, The Prosciutto and Arugula Pizza"
25,"2015-01-01","14:44:44","37","The Sicilian Pizza, The Thai Chicken Pizza"
26,"2015-01-01","14:54:26","32.25","The Classic Deluxe Pizza, The Vegetables + Vegetables Pizza"
27,"2015-01-01","15:11:17","57","The Barbecue Chicken Pizza, The Classic Deluxe Pizza, The Spinach and Feta Pizza"
28,"2015-01-01","15:35:46","12.75","The Chicken Alfredo Pizza"
29,"2015-01-01","15:41:01","12","The Green Garden Pizza"
30,"2015-01-01","15:41:25","20.75","The Thai Chicken Pizza"
31,"2015-01-01","15:50:18","25.75","The Mexicana Pizza, The Pepperoni Pizza"
32,"2015-01-01","15:53:18","69.25","The Big Meat Pizza, The Green Garden Pizza, The Italian Capocollo Pizza, The Italian Supreme Pizza"
33,"2015-01-01","15:54:08","32.75","The Barbecue Chicken Pizza, The Green Garden Pizza"
34,"2015-01-01","16:21:21","12","The Greek Pizza"
35,"2015-01-01","16:32:04","66.75","The Green Garden Pizza, The Pepperoni, Mushroom, and Peppers Pizza, The Pepperoni Pizza, The Thai Chicken Pizza"
36,"2015-01-01","16:54:09","32.75","The Barbecue Chicken Pizza, The Classic Deluxe Pizza"
37,"2015-01-01","16:56:09","41","The Italian Supreme Pizza, The Mexicana Pizza"
38,"2015-01-01","17:03:00","31","The Hawaiian Pizza, The Italian Capocollo Pizza"
39,"2015-01-01","17:07:23","20.75","The Italian Supreme Pizza"
40,"2015-01-01","17:14:36","30.7","The Four Cheese Pizza, The Southwest Chicken Pizza"
41,"2015-01-01","17:15:20","26.75","The Four Cheese Pizza, The Green Garden Pizza"
42,"2015-01-01","17:28:09","67.25","The Big Meat Pizza, The Five Cheese Pizza, The Mexicana Pizza, The Pepper Salami Pizza"
43,"2015-01-01","17:38:34","54","The Chicken Alfredo Pizza, The Italian Supreme Pizza, The Pepper Salami Pizza"
44,"2015-01-01","17:54:20","12.5","The Spinach Pesto Pizza"
45,"2015-01-01","17:55:48","45.2","The Four Cheese Pizza, The Hawaiian Pizza, The Thai Chicken Pizza"
46,"2015-01-01","18:25:51","58","The Chicken Pesto Pizza, The Classic Deluxe Pizza, The Thai Chicken Pizza"
47,"2015-01-01","18:26:34","32.75","The Southwest Chicken Pizza, The Vegetables + Vegetables Pizza"
48,"2015-01-01","18:26:42","70.25","The Chicken Pesto Pizza, The Green Garden Pizza, The Prosciutto and Arugula Pizza, The Spicy Italian Pizza"
49,"2015-01-01","18:33:00","20.25","The Sicilian Pizza"
50,"2015-01-01","18:41:01","25.5","The Greek Pizza"
51,"2015-01-01","18:48:28","38.25","The Barbecue Chicken Pizza, The Pepperoni, Mushroom, and Peppers Pizza"
52,"2015-01-01","18:53:02","57.5","The Hawaiian Pizza, The Mexicana Pizza, The Spicy Italian Pizza"
53,"2015-01-01","18:54:17","27.5","The Pepperoni, Mushroom, and Peppers Pizza, The Spinach Supreme Pizza"
54,"2015-01-01","19:01:45","37.25","The Prosciutto and Arugula Pizza, The Thai Chicken Pizza"
55,"2015-01-01","19:03:19","33.25","The Pepper Salami Pizza, The Spicy Italian Pizza"
56,"2015-01-01","19:07:00","53","The Classic Deluxe Pizza, The Mediterranean Pizza, The Southwest Chicken Pizza"
57,"2015-01-01","19:10:51","16","The Classic Deluxe Pizza"
58,"2015-01-01","19:30:40","31","The Five Cheese Pizza, The Pepperoni Pizza"
59,"2015-01-01","19:40:08","39","The Italian Vegetables Pizza, The Pepperoni, Mushroom, and Peppers Pizza, The Pepperoni Pizza"
60,"2015-01-01","20:05:16","35.5","The Chicken Pesto Pizza, The Four Cheese Pizza"
61,"2015-01-01","20:08:43","37.5","The Barbecue Chicken Pizza, The Italian Supreme Pizza"
62,"2015-01-01","20:50:16","33.25","The Barbecue Chicken Pizza, The Spinach Supreme Pizza"
63,"2015-01-01","20:51:42","14.5","The Pepperoni, Mushroom, and Peppers Pizza"
64,"2015-01-01","20:52:08","12","The Big Meat Pizza"
65,"2015-01-01","21:16:00","52.25","The Pepperoni, Mushroom, and Peppers Pizza, The Sicilian Pizza, The Spicy Italian Pizza, The Spinach Supreme Pizza"
66,"2015-01-01","21:47:55","32","The Classic Deluxe Pizza, The Italian Capocollo Pizza"
67,"2015-01-01","22:03:40","20.75","The Southwest Chicken Pizza"
68,"2015-01-01","22:07:32","53.25","The Classic Deluxe Pizza, The Italian Supreme Pizza, The Italian Supreme Pizza"
69,"2015-01-01","22:12:13","20.75","The Barbecue Chicken Pizza"
70,"2015-01-02","11:38:51","33.5","The Italian Vegetables Pizza, The Soppressata Pizza"
71,"2015-01-02","11:40:50","20.75","The Thai Chicken Pizza"
72,"2015-01-02","11:57:25","20.25","The Spinach and Feta Pizza"
73,"2015-01-02","11:58:56","12.75","The Thai Chicken Pizza"
74,"2015-01-02","12:01:12","72","The Five Cheese Pizza, The Mexicana Pizza, The Spinach Pesto Pizza, The Spinach Supreme Pizza"
75,"2015-01-02","12:10:15","53.25","The Italian Supreme Pizza, The Mediterranean Pizza, The Napolitana Pizza"
76,"2015-01-02","12:21:17","70.25","The Big Meat Pizza, The Hawaiian Pizza, The Italian Vegetables Pizza, The Spicy Italian Pizza"
77,"2015-01-02","12:22:46","30","The Barbecue Chicken Pizza, The Hawaiian Pizza"
78,"2015-01-02","12:28:14","132.95","The Big Meat Pizza, The Classic Deluxe Pizza, The Four Cheese Pizza, The Italian Capocollo Pizza, The Spicy Italian Pizza, The Thai Chicken Pizza"
79,"2015-01-02","12:29:11","52.25","The Italian Capocollo Pizza, The Pepperoni, Mushroom, and Peppers Pizza, The Thai Chicken Pizza"
80,"2015-01-02","12:35:38","26.5","The Pepperoni Pizza, The Thai Chicken Pizza"
81,"2015-01-02","12:40:01","20.75","The Thai Chicken Pizza"
82,"2015-01-02","12:45:51","65.5","The Big Meat Pizza, The California Chicken Pizza, The Spicy Italian Pizza, The Vegetables + Vegetables Pizza"
83,"2015-01-02","12:53:27","12.75","The Southwest Chicken Pizza"
84,"2015-01-02","13:13:41","15.25","The Pepperoni Pizza"
85,"2015-01-02","13:34:49","64.75","The Classic Deluxe Pizza, The Classic Deluxe Pizza, The Italian Supreme Pizza, The Greek Pizza"
86,"2015-01-02","13:40:31","16.5","The Hawaiian Pizza"
87,"2015-01-02","14:01:02","65.25","The Italian Capocollo Pizza, The Mexicana Pizza, The Spinach Supreme Pizza, The Spinach Supreme Pizza"
88,"2015-01-02","14:10:08","18.5","The Five Cheese Pizza"
89,"2015-01-02","14:30:19","41.5","The Soppressata Pizza, The Thai Chicken Pizza"
